Pathway	GeneID	Symbol	Description	HL_vs_LL_1mM_log2FC	HL_vs_LL_1mM_padj	HL_vs_LL_10mM_log2FC	HL_vs_LL_10mM_padj	HighN_vs_LowN_HL_log2FC	HighN_vs_LowN_HL_padj	HighN_vs_LowN_LL_log2FC	HighN_vs_LowN_LL_padj
Cellulose	Cz11g15170	AT4G23990	(1 of 20) 2.4.1.12 - cellulose synthase (UDP-forming). / UDP-glucose-cellulose glucosyltransferase.	-0.1519	0.308297	-0.1068	0.691925	-0.6117	0.039415	-0.6568	0.022708
Translation	Cz11g15180	AT1G02780	(1 of 4) K02885 - large subunit ribosomal protein L19e (RP-L19e, RPL19)	-0.0889	0.415285	0.205	0.316319	0.2916	0.086251	-0.0022	0.984964
Ubiquitin_Proteasome	Cz11g15190	AT5G07270	(1 of 2) K19044 - E3 ubiquitin-protein ligase XBAT32/33 [EC:6.3.2.19] (XBAT32_33)	0.1971	0.248572	0.1091	0.636223	-0.5481	0.044913	-0.46	0.025319
Translation	Cz11g15210	ATCG00750	(1 of 1) K02948 - small subunit ribosomal protein S11 (RP-S11, MRPS11, rpsK)	0.063	0.8244	-0.1566	0.187222	-0.2214	0.157105	-0.0018	0.99248
Translation	Cz11g15220	AT2G37270	(1 of 2) K02989 - small subunit ribosomal protein S5e (RP-S5e, RPS5)	-0.0825	0.461343	0.2516	0.162367	0.1419	0.118134	-0.1923	0.109117
Lysine	Cz11g16040	AT4G20400	(1 of 1) PTHR10694:SF105 - LYSINE-SPECIFIC DEMETHYLASE JMJ14	0.3106	0.264371	0.1771	0.547674	-0.5588	0.026488	-0.4252	0.092755
Phospholipid_Biosynthesis	Cz11g16060	AT3G45100	(1 of 1) K03857 - phosphatidylinositol glycan, class A (PIGA, GPI3)	0.2243	0.48022	0.229	0.488815	-0.486	0.091903	-0.4907	0.129916
Phospholipid_Biosynthesis	Cz11g16070	AT3G45100	(1 of 1) K03857 - phosphatidylinositol glycan, class A (PIGA, GPI3)	0.1555	0.474169	0.133	0.566055	-0.4977	0.069357	-0.4752	0.063995
Phospholipid_Biosynthesis	Cz11g16080	AT3G45100	(1 of 1) K03857 - phosphatidylinositol glycan, class A (PIGA, GPI3)	0.3058	0.426936	0.0358	0.920113	-0.7751	0.069991	-0.5051	0.041585
Redox_Metabolism	Cz11g16090	AT5G61510	(1 of 1) K00344 - NADPH2:quinone reductase (qor, CRYZ)	0.4512	0.803134	-4.0299	0.178581	-5.4874	0.278754	-1.0062	0.180719
RNA_Splicing	Cz11g16130	AT1G65700	(1 of 1) K12627 - U6 snRNA-associated Sm-like protein LSm8 (LSM8)	0.1506	0.214055	0.2155	0.272269	-0.1756	0.148626	-0.2405	0.040045
Chloroplast_Function	Cz11g16140	AT3G06730	(1 of 1) PTHR47834:SF2 - THIOREDOXIN-LIKE PROTEIN CITRX, CHLOROPLASTIC	0.2979	0.182184	0.1514	0.205155	-0.3816	0.011628	-0.2352	0.044701
Vesicle_Trafficking	Cz11g16170	AT4G01400	(1 of 1) PTHR24016:SF0//PTHR47939:SF9 - CONSERVED OLIGOMERIC GOLGI COMPLEX SUBUNIT 4 // (WILD MALAYSIAN BANANA) HYPOTHETICAL PROTEIN	0.1491	0.341998	0.0877	0.626425	-0.4596	0.02141	-0.3983	0.040556
Translation	Cz11g16180	AT4G18100	(1 of 2) K02912 - large subunit ribosomal protein L32e (RP-L32e, RPL32)	-0.0852	0.63832	0.2287	0.256376	0.2171	0.088864	-0.0967	0.510794
Translation	Cz11g16280	AT1G72370	(1 of 1) PTHR11489:SF30 - 40S RIBOSOMAL PROTEIN SA-1	0.1331	0.749948	0.516	0.694242	-0.8933	0.179715	-1.2762	0.101444
Protein_Phosphatase_Signalling	Cz11g16300	AT3G09880	(1 of 1) PTHR10257:SF116 - SERINE_THREONINE PROTEIN PHOSPHATASE 2A 57 KDA REGULATORY SUBUNIT B' BETA ISOFORM	0.0432	0.526508	-0.0484	0.820843	-0.5253	0.018428	-0.4337	0.056558
Protein_Kinase_Signalling	Cz11g17010	AT4G29380	(1 of 1) K08333 - phosphoinositide-3-kinase, regulatory subunit 4 (PIK3R4, VPS15)	0.2133	0.313907	0.1265	0.583488	-0.8978	0.012934	-0.811	0.027666
RNA_Splicing	Cz11g17040	AT3G23010	(1 of 3) PTHR27004:SF323 - OS08G0541300 PROTEIN	0.3472	0.259937	-0.1362	0.864615	-6.0286	0.013281	-5.5452	0.029381
Translation	Cz11g17050	AT3G56340	(1 of 3) K02976 - small subunit ribosomal protein S26e (RP-S26e, RPS26)	0.1995	0.868173	0.1876	0.964327	-2.7744	0.198603	-2.7625	0.042389
Molybdenum_Cofactor	Cz11g17060	AT5G62760	(1 of 1) K17602 - YLP motif-containing protein 1 (YLPM1)	-0.0238	0.877419	-0.2591	0.365937	-0.3531	0.065402	-0.1177	0.445311
RNA_Polymerase	Cz11g17080	AT1G73820	(1 of 1) K15544 - RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (SSU72)	0.0297	0.866987	-0.0254	0.930847	-0.1359	0.121471	-0.0808	0.667251
Glutathione_Metabolism	Cz11g17100	AT2G23960	(1 of 1) PTHR42695:SF12 - GAMMA-GLUTAMYL PEPTIDASE 4	0.0776	0.610953	0.0106	0.963436	-0.0855	0.530338	-0.0185	0.85446
Glycine	Cz11g17130	AT2G13360	(1 of 1) 2.6.1.4//2.6.1.44//2.6.1.45//2.6.1.51 - glycine transaminase. / glycine aminotransferase. // alanine--glyoxylate transaminase. / alanine--glyoxylate aminotransferase. // serine--glyoxylate transaminase. / SGAT. // serine--pyruvate transaminase. / serine--pyruvate aminotransferase.	-0.0696	0.668388	0.1035	0.529822	0.5941	0.023935	0.421	0.032517
Protein_Proteolysis	Cz11g17150	AT5G51540	(1 of 1) K01410 - mitochondrial intermediate peptidase [EC:3.4.24.59] (MIPEP)	0.0834	0.557982	-0.1581	0.413347	-0.1503	0.276173	0.0912	0.271681
Two_Component_Signaling	Cz11g17160	AT4G16110	(1 of 1) PTHR43874:SF222 - TWO-COMPONENT RESPONSE REGULATOR ARR2	0.0528	0.768395	-0.5372	0.275414	-0.7481	0.055756	-0.1581	0.451459
RNA_Splicing	Cz11g17170	AT1G53210	(1 of 1) PTHR31503:SF36 - SODIUM_CALCIUM EXCHANGER NCL	0.0054	0.978985	-0.5862	0.310356	-0.9686	0.034098	-0.377	0.163594
Chaperone	Cz11g17180	AT3G62600	(1 of 1) K09517 - DnaJ homolog subfamily B member 11 (DNAJB11)	0.1282	0.522665	-0.0424	0.780367	0.0658	0.573576	0.2365	0.139399
Protein_Proteolysis	Cz11g17190	AT5G51540	(1 of 1) K01410 - mitochondrial intermediate peptidase [EC:3.4.24.59] (MIPEP)	0.0074	0.972038	-0.0692	0.796271	-0.2822	0.133905	-0.2057	0.239495
Transcription	Cz11g17200	AT2G37080	(1 of 1) IPR015988 - STAT transcription factor, coiled coil	0.8341	0.265224	0.1577	0.526588	-1.0246	0.012955	-0.3481	0.451191
Protein_Kinase_Signalling	Cz11g17210	AT1G17410	(1 of 1) PTHR46161:SF3 - NUCLEOSIDE DIPHOSPHATE KINASE DDB_G0292928-RELATED	0.3833	0.471038	-0.6053	0.296583	-0.4051	0.289768	0.5835	0.156685
One_Carbon_Metabolism	Cz11g17240	AT4G10760	(1 of 1) K05925 - mRNA (2'-O-methyladenosine-N6-)-methyltransferase [EC:2.1.1.62] (METTL3_14)	0.1262	0.41728	0.2338	0.079297	-0.2113	0.019988	-0.3189	0.094771
RNA_Splicing	Cz11g18010	AT1G69030	(1 of 2) PTHR31923:SF36 - BSD DOMAIN-CONTAINING PROTEIN	0.2878	0.338964	-0.0894	0.774308	-0.6414	0.045168	-0.2642	0.136058
Inositol	Cz11g18020	AT5G17670	(1 of 1) PTHR47909:SF2 - GPI INOSITOL-DEACYLASE	-0.0025	0.989335	-0.1415	0.551797	-0.046	0.778509	0.093	0.364984
Leucine	Cz11g18060	AT1G09620	(1 of 1) PTHR45794:SF1 - LEUCINE--TRNA LIGASE, CYTOPLASMIC	-0.1345	0.622616	0.2662	0.371469	0.0415	0.80036	-0.3592	0.159249
Leucine	Cz11g18070	AT1G09620	(1 of 1) PTHR45794:SF1 - LEUCINE--TRNA LIGASE, CYTOPLASMIC	-0.1373	0.656897	0.1855	0.44704	-0.0596	0.66564	-0.3824	0.186759
Leucine	Cz11g18080	AT1G09620	(1 of 1) PTHR45794:SF1 - LEUCINE--TRNA LIGASE, CYTOPLASMIC	-0.1011	0.737524	0.0203	0.920574	-0.1527	0.374951	-0.2741	0.253324
Chloroplast_Function	Cz11g18250	AT2G31890	(1 of 1) PTHR21228:SF74 - RAP DOMAIN-CONTAINING PROTEIN, CHLOROPLASTIC	-0.0415	0.827123	-0.0201	0.938082	-0.121	0.324379	-0.1424	0.402139
tRNA_Modification	Cz11g19010	AT1G49540	(1 of 1) K11374 - elongator complex protein 2 (ELP2)	0.6491	0.25754	-0.4989	0.439412	-1.5759	0.022945	-0.428	0.270137
Sulfur_Amino_Acid_Cycle	Cz11g19020	AT1G44790	(1 of 1) K07232 - cation transport protein ChaC (chaC)	0.2746	0.330482	0.217	0.260529	-0.1494	0.167283	-0.0917	0.569684
Chloroplast_Function	Cz11g19070	AT5G20380	(1 of 1) PTHR11662:SF243 - ANION TRANSPORTER 6, CHLOROPLASTIC-RELATED	0.0365	0.668019	-0.0353	0.928764	-1.0565	0.020856	-0.9847	0.012466
Fatty_Acid	Cz11g19090	AT5G64440	(1 of 1) 3.5.1.99 - fatty acid amide hydrolase. / oleamide hydrolase.	0.3606	0.221622	0.7193	0.113129	-0.064	0.595858	-0.4226	0.086595
Cytoskeleton	Cz11g20060	AT5G47820	(1 of 1) PTHR47969:SF31 - KINESIN-LIKE PROTEIN KIN-4A	0.0753	0.785875	-0.0306	0.946306	-0.4224	0.170343	-0.3166	0.134583
RNA_Processing	Cz11g20100	AT3G01540	(1 of 1) PTHR47958:SF92 - DEAD-BOX ATP-DEPENDENT RNA HELICASE 14	-0.0554	0.653682	0.1828	0.432832	-0.5286	0.019802	-0.7669	0.021513
Protein_Kinase_Signalling	Cz11g20170	AT5G08590	(1 of 1) PTHR24343:SF530 - SERINE_THREONINE KINASE CATALYTIC DOMAIN PROTEIN-RELATED	-0.0133	0.930458	-0.1182	0.49502	-0.1308	0.32028	-0.0259	0.735199
Abscisic_Acid_ABA	Cz11g20180	AT5G66880	(1 of 10) K14498 - serine/threonine-protein kinase SRK2 (SNRK2)	-0.0503	0.667372	-0.2152	0.317503	-0.2061	0.086574	-0.0412	0.708692
Protein_Kinase_Signalling	Cz11g20220	AT4G33950	(1 of 1) PTHR24343:SF509 - SERINE_THREONINE-PROTEIN KINASE SRK2E	1.9243	0.322983	3.1533	0.644473	-2.4441	0.082232	-3.673	0.490096
Protein_Kinase_Signalling	Cz11g20230	AT1G54510	(1 of 1) PTHR43671:SF122 - SERINE_THREONINE-PROTEIN KINASE NEK1	0.3127	0.524918	0.4861	0.738367	-2.0364	0.046438	-2.2097	0.03881
Translation	Cz11g20240	AT1G55300	(1 of 1) K03132 - transcription initiation factor TFIID subunit 7 (TAF7)	0.0882	0.498601	0.15	0.381011	0.2203	0.079562	0.1586	0.207847
Translation	Cz11g20270	AT2G41670	(1 of 1) PTHR45782:SF4 - MITOCHONDRIAL RIBOSOME-ASSOCIATED GTPASE 1	0.0323	0.807398	0.1944	0.508287	-0.0988	0.315044	-0.2609	0.227632
Kinetochore_SAC	Cz11g20280	AT1G61000	(1 of 1) K11548 - kinetochore protein Nuf2 (NUF2, CDCA1)	0.5644	0.333603	-0.7831	0.156735	-3.127	0.042117	-1.7794	0.073432
Protein_Kinase_Signalling	Cz11g21010	AT4G33950	(1 of 1) PTHR24343:SF509 - SERINE_THREONINE-PROTEIN KINASE SRK2E	0.1734	0.366824	0.149	0.406123	-0.3619	0.044821	-0.3375	0.077396
DNA_Damage_Checkpoint	Cz11g21030	AT5G22010	(1 of 1) K10754 - replication factor C subunit 1 (RFC1)	0.1675	0.48022	0.2199	0.400806	-0.3892	0.040544	-0.4415	0.103658
Omega3_Fatty_Acid	Cz11g21110	AT4G30950	(1 of 1) 1.14.19.22//1.14.19.23 - acyl-lipid omega-6 desaturase (cytochrome b5). / phosphatidylcholine desaturase. // acyl-lipid (n+3)-(Z)-desaturase (ferredoxin). / phosphatidylcholine desaturase.	-0.1518	0.577758	0.2266	0.443425	0.2949	0.188637	-0.0835	0.656497
Omega3_Fatty_Acid	Cz11g21120	AT4G30950	(1 of 1) 1.14.19.22//1.14.19.23 - acyl-lipid omega-6 desaturase (cytochrome b5). / phosphatidylcholine desaturase. // acyl-lipid (n+3)-(Z)-desaturase (ferredoxin). / phosphatidylcholine desaturase.	-0.0649	0.701918	0.2236	0.469829	0.2266	0.29039	-0.0619	0.569697
Translation	Cz11g21130	AT1G23280	(1 of 1) K14831 - protein MAK16 (MAK16)	-0.1304	0.547156	0.4086	0.439384	0.1335	0.629005	-0.4056	0.128877
Translation	Cz11g21140	AT2G45710	(1 of 2) PTHR11594:SF0 - 40S RIBOSOMAL PROTEIN S27	0.0222	0.852245	0.2061	0.16224	0.4323	0.017786	0.2484	0.03508
Ethylene	Cz11g21150	AT5G03730	(1 of 1) K14510 - serine/threonine-protein kinase CTR1 (CTR1)	-0.0628	0.854851	-2.3361	0.159885	-3.2269	0.029429	-0.9537	0.084472
Protein_Kinase_Signalling	Cz11g21170	AT4G24480	(1 of 3) PTHR23257:SF813 - SERINE_THREONINE-PROTEIN KINASE EDR1	0.168	0.952459	0	NA	-3.0842	0.255191	-2.9162	0.490096
Ethylene	Cz11g21180	AT5G03730	(1 of 1) K14510 - serine/threonine-protein kinase CTR1 (CTR1)	-0.2928	0.51604	0.2872	0.479486	-0.7991	0.147577	-1.379	0.03173
Golgi_TRAPP	Cz11g21190	AT1G79830	(1 of 1) PTHR47347:SF2 - GOLGIN CANDIDATE 5	0.3322	0.444114	-1.1206	0.154854	-1.499	0.051258	-0.0463	0.859144
Ubiquitin_Proteasome	Cz11g21200	AT3G57870	(1 of 1) K10577 - ubiquitin-conjugating enzyme E2 I (UBE2I, UBC9)	0.1437	0.487762	0.1592	0.314332	-0.1459	0.301413	-0.1614	0.218813
Inositol	Cz11g21210	AT4G39180	(1 of 1) PTHR45657:SF19 - PHOSPHATIDYLINOSITOL_PHOSPHATIDYLCHOLINE TRANSFER PROTEIN SFH2	-0.028	0.961117	0.2828	0.734311	-0.1028	0.822803	-0.4135	0.364984
Protein_Sorting_Secretory	Cz11g21220	AT5G47490	(1 of 2) PF12931//PF12932 - Sec23-binding domain of Sec16 (Sec16_C) // Vesicle coat trafficking protein Sec16 mid-region (Sec16)	0.1681	0.395644	-0.0953	0.832826	-1.2884	0.009718	-1.025	0.027322
Translation	Cz11g22010	AT5G12220	(1 of 1) K16912 - ribosomal biogenesis protein LAS1 (LAS1)	0.2455	0.317052	0.6079	0.093318	-0.5749	0.00868	-0.9373	0.033378
ABC_Transporter	Cz11g22020	AT1G31410	(1 of 1) PTHR30222:SF17 - BIFUNCTIONAL POLYHYDROXYBUTYRATE SYNTHASE _ ABC TRANSPORTER PERIPLASMIC BINDING PROTEIN-RELATED	0.0976	0.353736	0.3724	0.099154	0.0157	0.828667	-0.2591	0.050147
tRNA_Modification	Cz11g22120	AT1G50510	(1 of 1) K16329 - pseudouridine-5'-phosphate glycosidase (psuG)	0.192	0.430562	0.2017	0.2886	-0.1667	0.30805	-0.1764	0.182624
Redox_Metabolism	Cz11g22150	AT4G09670	(1 of 1) PTHR46368:SF19 - GFO_IDH_MOCA-LIKE OXIDOREDUCTASE N-TERMINAL DOMAIN-CONTAINING PROTEIN	-0.4231	0.245244	-1.1246	0.093318	0.357	0.144029	1.0585	0.035492
Inositol	Cz11g22190	AT4G34580	(1 of 1) PTHR45657:SF39 - PHOSPHATIDYLINOSITOL_PHOSPHATIDYLCHOLINE TRANSFER PROTEIN SFH1	0.1299	0.45869	0.0873	0.433593	-0.0842	0.32368	-0.0416	0.716589
Kinetochore_SAC	Cz11g22210	AT5G49880	(1 of 1) K06638 - mitotic spindle assembly checkpoint protein MAD1 (MAD1L)	0.0581	0.789718	-0.0719	0.844987	-0.3576	0.078417	-0.2277	0.371556
Ubiquitin_Proteasome	Cz11g22230	AT5G23540	(1 of 1) K03030 - 26S proteasome regulatory subunit N11 (PSMD14, RPN11, POH1)	0.2871	0.221622	0.354	0.268522	-0.4815	0.03197	-0.5484	0.046041
Golgi_TRAPP	Cz11g22240	AT5G54440	(1 of 1) PF12584 - Trafficking protein particle complex subunit 10, TRAPPC10 (TRAPPC10)	0.2443	0.260392	0.1994	0.60355	-1.0595	0.012622	-1.0145	0.021057
Transcription	Cz11g22260	AT3G25990	(1 of 1) PTHR21654:SF54 - TRIHELIX TRANSCRIPTION FACTOR GT-4	0.0158	0.671699	0.1881	0.093318	-0.1479	0.023279	-0.3202	0.015676
Folate	Cz11g23020	AT2G32040	(1 of 1) PTHR31585:SF0 - FOLATE-BIOPTERIN TRANSPORTER 1, CHLOROPLASTIC	0.3129	0.208689	0.3216	0.083838	-0.446	0.018548	-0.4547	0.021474
Glutamate	Cz11g23070	AT3G48730	(1 of 2) 5.4.3.8 - glutamate-1-semialdehyde 2,1-aminomutase. / glutamate-1-semialdehyde aminotransferase.	-0.7932	0.265224	-1.1701	0.102714	0.9019	0.011299	1.2788	0.021871
RNA_Splicing	Cz11g23140	AT1G03140	(1 of 2) K12817 - pre-mRNA-splicing factor 18 (PRPF18, PRP18)	0.1118	0.437683	0.0854	0.334427	-0.2732	0.072484	-0.2469	0.075743
Histone_Modification	Cz11g23150	AT1G52740	(1 of 1) PTHR23430:SF417 - HISTONE H2A VARIANT 3-RELATED	0.5199	0.318001	-0.424	0.207203	-2.2617	0.041	-1.3177	0.063055
Pyrimidine	Cz11g23160	AT5G10910	(1 of 1) 2.1.1.199 - 16S rRNA (cytosine(1402)-N(4))-methyltransferase. / 16S rRNA (cytosine(1402)-N(4))-methyltransferase.	-0.048	0.542977	0.1372	0.625491	0.2879	0.210409	0.1028	0.088199
Kinetochore_SAC	Cz11g23170	AT3G22790	(1 of 7) KOG4593 - Mitotic checkpoint protein MAD1	0.1441	0.788867	-0.854	0.495136	-1.5638	0.08364	-0.5657	0.213121
Purine	Cz11g23200	AT2G39970	(1 of 1) K13354 - solute carrier family 25 (peroxisomal adenine nucleotide transporter), member 17 (SLC25A17, PMP34)	0.5829	0.312019	-0.0432	0.963702	-2.1858	0.011524	-1.5597	0.107869
Serine	Cz11g23210	AT3G06630	(1 of 1) IPR000014//IPR000700//IPR000719//IPR001245//IPR001610//IPR011009//IPR013767//IPR020635//IPR035965 - PAS domain // PAS-associated, C-terminal // Protein kinase domain // Serine-threonine/tyrosine-protein kinase catalytic domain // PAC motif // Protein kinase-like domain // PAS fold // Tyrosine-protein kinase, catalytic domain // PAS domain superfamily	0.2127	0.352285	0.0363	0.854289	0.1774	0.279003	0.3538	0.024057
Chlorophyll	Cz11g23240	AT1G76570	(1 of 1) K14172 - light-harvesting complex II chlorophyll a/b binding protein 7 (LHCB7)	0.1993	0.28279	0.4908	0.078276	0.4068	0.033863	0.1153	0.264608
Protein_Proteolysis	Cz11g23260	AT4G33090	(1 of 1) 3.4.11.2 - membrane alanyl aminopeptidase. / peptidase E.	0.3478	0.290192	0.0379	0.898265	-1.105	0.011301	-0.7951	0.058528
Pyrimidine	Cz11g24040	AT1G80740	(1 of 1) PTHR10629:SF59 - DNA (CYTOSINE-5)-METHYLTRANSFERASE CMT1-RELATED	0.0544	0.939294	0.117	0.70842	-0.2928	0.35427	-0.3555	0.490096
Vitamin_B6_Pyridoxine	Cz11g24060	AT1G11930	(1 of 1) PTHR10146:SF15 - PYRIDOXAL PHOSPHATE HOMEOSTASIS PROTEIN	-0.1685	0.409348	0.1858	0.352993	0.3847	0.062836	0.0305	0.781724
Transcription	Cz11g24110	AT1G17680	(1 of 1) K15201 - general transcription factor 3C polypeptide 3 (transcription factor C subunit 4) (GTP3C3, TFC4)	0.615	0.232465	-0.212	0.53722	-1.9359	0.014391	-1.1089	0.06171
Transcription	Cz11g24120	AT1G17680	(1 of 1) K15201 - general transcription factor 3C polypeptide 3 (transcription factor C subunit 4) (GTP3C3, TFC4)	0.51	0.312381	-0.3771	0.525966	-1.8562	0.029008	-0.9691	0.08352
Methionine	Cz11g24160	AT3G03780	(1 of 1) PTHR30519:SF0 - 5-METHYLTETRAHYDROPTEROYLTRIGLUTAMATE--HOMOCYSTEINE METHYLTRANSFERASE	-0.255	0.271306	0.0368	0.925286	0.8119	0.081925	0.5202	0.088634
Chlorophyll	Cz11g24180	AT3G59400	(1 of 1) PTHR34800:SF1 - TETRAPYRROLE-BINDING PROTEIN, CHLOROPLASTIC	-0.5921	0.255394	-0.4699	0.227961	0.963	0.033035	0.8407	0.05286
Pectin_Cell_Wall	Cz11g24200	AT1G19360	(1 of 1) PTHR46581:SF3 - ARABINOSYLTRANSFERASE RRA3	0.077	0.402721	-0.121	0.536901	-0.4569	0.050379	-0.2589	0.040823
Translation	Cz11g24250	AT4G34730	(1 of 1) K02834 - ribosome-binding factor A (rbfA)	-0.0273	0.862897	0.2814	0.173547	0.7874	0.014903	0.4788	0.027409
Protein_Kinase_Signalling	Cz11g24260	AT1G36990	(1 of 1) PTHR34112:SF18 - C-JUN-AMINO-TERMINAL KINASE-INTERACTING PROTEIN	0.0408	0.86508	6e-04	0.997955	-0.2727	0.056222	-0.2326	0.296407
Protein_Kinase_Signalling	Cz11g24270	AT2G26930	(1 of 1) 2.7.1.148 - 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase. / CMK.	7e-04	0.986173	0.3961	0.063821	0.4316	0.013859	0.0362	0.249198
Transcription	Cz11g25030	AT4G17900	(1 of 2) PTHR31065:SF54 - PLATZ TRANSCRIPTION FACTOR FAMILY PROTEIN	0.5956	0.221622	0.2122	0.850498	-1.0756	0.101949	-0.6922	0.07852
Laccase_Multicopper_Oxidase	Cz11g25050	AT4G12290	(1 of 3) PTHR10638:SF41 - AMINE OXIDASE	-0.0975	0.718585	0.4475	0.2886	-0.734	0.042251	-1.279	0.029414
Translation_Termination	Cz11g25130	AT1G18070	(1 of 1) K03267 - peptide chain release factor subunit 3 (ERF3, GSPT)	-0.1381	0.420666	0.2478	0.328479	0.2589	0.155054	-0.127	0.253677
Mitochondrial_Import	Cz11g25170	AT1G21380	(1 of 1) PTHR45898:SF12 - TOM1-LIKE PROTEIN 3	0.1219	0.333096	0.11	0.317266	-0.2952	0.020664	-0.2833	0.049941
RNA_Polymerase	Cz11g25180	AT4G21710	(1 of 1) K03010 - DNA-directed RNA polymerase II subunit RPB2 (RPB2, POLR2B)	0.1113	0.415871	0.1539	0.633477	-0.8408	0.017908	-0.8834	0.023121
Glycine	Cz11g25190	AT4G13930	(1 of 2) PTHR11680:SF35 - SERINE HYDROXYMETHYLTRANSFERASE, CYTOSOLIC	0.3868	0.145233	0.2613	0.111785	-0.7166	0.007095	-0.591	0.017143
Glycine	Cz11g25200	AT4G13930	(1 of 2) PTHR11680:SF35 - SERINE HYDROXYMETHYLTRANSFERASE, CYTOSOLIC	0.3004	0.255394	0.2572	0.436323	-0.6604	0.043358	-0.6172	0.046113
Translation	Cz11g25220	AT4G20280	(1 of 2) K03135 - transcription initiation factor TFIID subunit 11 (TAF11)	0.0811	0.447379	0.2344	0.139902	0.1932	0.035047	0.04	0.612399
Proton_Pump	Cz11g25250	AT4G38510	(1 of 1) PTHR43389:SF4 - V-TYPE PROTON ATPASE SUBUNIT B	0.3093	0.249608	0.248	0.184472	-0.6413	0.014896	-0.58	0.044481
RNA_Splicing	Cz11g26010	AT5G66990	(1 of 1) PTHR46373:SF32 - PROTEIN RKD3	0.1131	0.461272	0.0578	0.743004	-0.5171	0.023034	-0.4618	0.058284
Protein_Proteolysis	Cz11g26050	AT5G19660	(1 of 1) 3.4.21.112 - site-1 protease. / subtilisin/kexin isozyme 1.	-0.0712	0.758017	0.2118	0.436853	0.0877	0.582205	-0.1953	0.306473
RNA_Splicing	Cz11g26060	AT5G53040	(1 of 1) PTHR46373:SF37 - PROTEIN RKD4	-0.3393	0.610987	-0.646	0.184472	-0.5279	0.112034	-0.2212	0.61316
Redox_Metabolism	Cz11g26070	AT4G36400	(1 of 1) 1.1.99.39 - D-2-hydroxyglutarate dehydrogenase. / D-2-hydroxyglutarate dehydrogenase.	0.2528	0.256124	0.3538	0.190421	-0.1926	0.090365	-0.2937	0.116154
Redox_Metabolism	Cz11g26100	AT5G56720	(1 of 1) PTHR23382:SF19 - MALATE DEHYDROGENASE 3, CYTOPLASMIC	0.7033	0.417943	-0.6856	0.54122	-2.9307	0.063708	-1.5419	0.183042
Redox_Metabolism	Cz11g26110	AT5G43330	(1 of 1) PTHR23382:SF3 - MALATE DEHYDROGENASE, CYTOPLASMIC	0.7113	0.397561	-0.4676	0.670293	-2.3472	0.0682	-1.1683	0.144276
Pectin_Cell_Wall	Cz11g26160	AT5G13980	(1 of 1) PTHR11607:SF67 - ALPHA-MANNOSIDASE	0.5057	0.253377	-1.3362	0.152058	-3.2486	0.011181	-1.4066	0.041014
Translation	Cz11g26190	AT5G52820	(1 of 1) K14855 - ribosome assembly protein 4 (RSA4, NLE1)	-0.2069	0.528941	0.3122	0.271451	0.2416	0.156032	-0.2775	0.288816
RNA_Splicing	Cz11g27040	AT5G26340	(1 of 1) PTHR23500:SF357 - IP12678P	0.5544	0.341563	1.3132	0.556796	-1.4678	0.055385	-2.2266	0.088483
Terpenoid	Cz11g27070	AT5G20040	(1 of 1) PTHR11088:SF60 - TRNA DIMETHYLALLYLTRANSFERASE 9	0.0366	0.890646	-0.2424	0.157896	0.2429	0.092241	0.522	0.074854
Zeaxanthin	Cz11g27080	AT5G67030	(1 of 1) K09838 - zeaxanthin epoxidase (ZEP, ABA1)	0.2984	0.25029	0.1918	0.488368	-0.1941	0.267444	-0.0875	0.378941
Ubiquitin_Proteasome	Cz11g27110	AT5G13530	(1 of 1) K16279 - E3 ubiquitin-protein ligase KEG [EC:2.7.11.1 6.3.2.19] (KEG)	0.4666	0.427548	-0.4086	0.576057	-0.5085	0.258651	0.3667	0.417632
Histidine	Cz11g27130	AT3G02760	(1 of 1) PTHR11476:SF7 - HISTIDYL-TRNA SYNTHETASE, ISOFORM D	-0.098	0.496292	0.2188	0.328091	-0.182	0.117871	-0.4988	0.038215
Ethylene	Cz11g27160	AT5G17430	(1 of 1) PTHR32467:SF261 - AP2-LIKE ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR BBM	0.6788	0.324876	-0.6052	0.416745	-3.132	0.032254	-1.8479	0.121331
Redox_Metabolism	Cz11g27250	AT1G24470	(1 of 1) PTHR43899:SF26 - 3-OXOACYL-[ACYL-CARRIER-PROTEIN] REDUCTASE	0.5661	0.221622	0.6111	0.101989	-0.3969	0.042218	-0.4419	0.0734
Proline	Cz11g28010	AT3G15520	(1 of 1) PTHR47318:SF1 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE CYP37, CHLOROPLASTIC	-0.0243	0.878102	0.3011	0.121225	0.2425	0.078754	-0.0828	0.392268
Translation	Cz11g28020	AT2G36170	(1 of 2) K02927 - large subunit ribosomal protein L40e (RP-L40e, RPL40)	-0.109	0.560889	0.2903	0.238973	0.3917	0.068057	-0.0076	0.951658
Protein_Proteolysis	Cz11g28030	AT2G26140	(1 of 1) PTHR23076:SF37 - ATP-DEPENDENT ZINC METALLOPROTEASE YME1L1	0.2372	0.241249	0.1637	0.7022	-1.0728	0.008465	-0.9994	0.049437
