Pathway	GeneID	Symbol	Description	wtns_vs_wtc_log2FC	wtns_vs_wtc_padj	vipns_vs_vipc_log2FC	vipns_vs_vipc_padj	vipc_vs_wtc_log2FC	vipc_vs_wtc_padj	vipns_vs_wtns_log2FC	vipns_vs_wtns_padj
Starch	Cre17.g719900	Cre17.g719900	ATP binding kinase activity carbohydrate binding phosphorylation transferase activity nucleotide binding metal ion binding chloroplast starch metabolic process phosphoglucan, water dikinase activity	-1.2704	0.763672	-0.6297	0.431285	0.2477	0.786155	0.8884	0.606213
Photosynthesis	Cre17.g720050	Cre17.g720050	ATP binding membrane ATP hydrolysis activity zinc ion binding metalloendopeptidase activity proteolysis ATP-dependent peptidase activity nucleotide binding hydrolase activity metal ion binding peptidase activity metallopeptidase activity chloroplast thylakoid membrane PSII associated light-harvesting complex II catabolic process	0.0026	0.999441	-1.503	0.259377	0.7737	0.629093	-0.7318	0.610123
Protein_Kinase_Signalling	Cre17.g720528	Cre17.g720528	carbohydrate phosphorylation N-acetylglucosamine kinase activity glucosamine kinase activity	-3.0646	0.765014	-0.5982	0.751157	0.4885	0.792528	2.955	0.66768
Ubiquitin_Proteasome	Cre17.g720900	Cre17.g720900	axoneme SCF ubiquitin ligase complex SCF-dependent proteasomal ubiquitin-dependent protein catabolic process protein binding	3.6867	0.763672	-0.6668	0.557089	5.4925	0.627762	1.139	0.66768
Glutathione_Metabolism	Cre17.g721350	Cre17.g721350	transferase activity glutathione transferase activity glutathione metabolic process	1.0609	0.874122	0.2739	0.884399	1.0851	0.637243	0.298	0.930288
Starch	Cre17.g721500	Cre17.g721500	glycosyltransferase activity alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity transferase activity chloroplast starch biosynthetic process amyloplast	-3.1956	0.763672	-3.0336	0.061295	0.7607	0.627762	0.9227	0.610123
Cysteine	Cre17.g721600	Cre17.g721600	cysteine-type deubiquitinase activity protein deubiquitination spliceosomal complex assembly	-0.6053	0.765014	-0.3132	0.632263	0.6807	0.627762	0.9728	0.606213
Serine	Cre17.g721850	Cre17.g721850	ATP binding protein serine/threonine kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding elongation factor-2 kinase activity	-1.0516	0.765014	-0.9184	0.248844	0.8562	0.627762	0.9895	0.606213
Ubiquitin_Proteasome	Cre17.g721950	Cre17.g721950	metal ion binding zinc ion binding protein ubiquitination ubiquitin-protein transferase activity transferase activity cytoplasm ubiquitin protein ligase activity ubiquitin-dependent protein catabolic process ubiquitin ligase complex ubiquitin conjugating enzyme binding	0.6048	0.775141	0.4967	0.460754	0.6106	0.637243	0.5025	0.646524
Fatty_Acid	Cre17.g722150	Cre17.g722150	membrane acyltransferase activity acyltransferase activity, transferring groups other than amino-acyl groups fatty acid biosynthetic process transferase activity	0.6906	0.806402	-1.0885	0.318569	0.6846	0.627762	-1.0946	0.66768
Translation	Cre17.g722200	Cre17.g722200	translation ribosome structural constituent of ribosome large ribosomal subunit large ribosomal subunit rRNA binding ribonucleoprotein complex	-0.4933	0.765014	-1.2596	0.22356	1.1479	0.627762	0.3817	0.756585
Vitamin_B2_Riboflavin	Cre17.g723150	Cre17.g723150	FAD binding protein-disulfide reductase activity endoplasmic reticulum thiol oxidase activity oxidoreductase activity endoplasmic reticulum membrane protein folding in endoplasmic reticulum	0.4462	0.765014	-0.0807	0.880253	0.4772	0.628827	-0.0498	0.95058
Serine	Cre17.g723300	Cre17.g723300	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus cytoplasm intracellular signal transduction regulation of cell cycle cyclin-dependent protein serine/threonine kinase activity	2.7707	0.763672	2.2788	0.229802	0.8951	0.661995	0.4032	0.712172
Histidine	Cre17.g723550	Cre17.g723550	histidinol-phosphatase activity hydrolase activity metal ion binding amino acid biosynthetic process L-histidine biosynthetic process phosphoric ester hydrolase activity phosphatase activity	-1.2731	0.763672	-0.778	0.347292	0.3752	0.637243	0.8703	0.615365
Fatty_Acid	Cre17.g723650	Cre17.g723650	acyltransferase activity acyltransferase activity, transferring groups other than amino-acyl groups transferase activity cytoplasm lipid metabolic process peroxisome fatty acid metabolic process fatty acid beta-oxidation acetyl-CoA C-acyltransferase activity phenylacetate catabolic process	-2.3276	0.763672	-3.4193	0.107666	1.0953	0.627762	0.0036	0.998001
Translation	Cre17.g724350	Cre17.g724350	ubiquitin-dependent protein catabolic process proteasome core complex, alpha-subunit complex proteolysis involved in protein catabolic process proteasome-mediated ubiquitin-dependent protein catabolic process proteasome core complex nucleus cytoplasm proteasome complex structural constituent of ribosome catalytic activity, acting on a nucleic acid	-1.2658	0.763672	-1.0393	0.284094	0.3325	0.674355	0.5589	0.641679
Translation	Cre17.g724850	Cre17.g724850	nucleus nucleolus ribosome biogenesis protein binding	-0.9843	0.763672	-0.8653	0.276798	0.6538	0.627762	0.7727	0.634928
Glycolysis	Cre17.g725350	Cre17.g725350	N-glycan processing protein binding glucosidase II complex	0.5745	0.763672	-0.0178	0.974598	0.5826	0.627762	-0.0097	0.988704
Ubiquitin_Proteasome	Cre17.g725450	Cre17.g725450	protein ubiquitination nucleus Cul4-RING E3 ubiquitin ligase complex protein binding	0.4768	0.765014	0.539	0.550965	0.6828	0.627762	0.7451	0.610123
Glycolysis	Cre17.g725550	Cre17.g725550	NADP binding glucose metabolic process oxidoreductase activity, acting on CH-OH group of donors glucose-6-phosphate dehydrogenase activity oxidoreductase activity cytosol pentose-phosphate shunt, oxidative branch	1.1851	0.763672	1.954	0.259377	-0.4946	0.6442	0.2743	0.703744
Cysteine	Cre17.g726050	Cre17.g726050	cysteine-type deubiquitinase activity protein deubiquitination proteasome-mediated ubiquitin-dependent protein catabolic process hydrolase activity peptidase activity proteolysis cysteine-type peptidase activity proteasome binding protein binding	-0.6387	0.813202	-1.7489	0.184882	0.6972	0.631561	-0.413	0.75962
Ubiquitin_Proteasome	Cre17.g726150	Cre17.g726150	ATP binding ATP hydrolysis activity nucleotide binding proteasome regulatory particle, base subcomplex proteasome-mediated ubiquitin-dependent protein catabolic process	0.7548	0.763672	1.1026	0.291534	0.7754	0.627762	1.1232	0.606213
Translation	Cre17.g726300	Cre17.g726300	translation ribosome structural constituent of ribosome cytoplasm ribonucleoprotein complex small ribosomal subunit	-0.8169	0.786943	-0.8525	0.266765	0.6192	0.637243	0.5836	0.694458
Translation	Cre17.g726650	Cre17.g726650	nucleolus ribosomal large subunit biogenesis	0.8156	0.765014	1.0695	0.207234	0.3805	0.720675	0.6345	0.606213
Protein_Kinase_Signalling	Cre17.g726950	Cre17.g726950	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding cytosol nucleus cytoplasm eukaryotic translation initiation factor 2alpha kinase activity	1.9465	0.763672	1.4539	0.316041	0.7685	0.737409	0.2759	0.787213
Vitamin_B2_Riboflavin	Cre17.g727300	Cre17.g727300	FMN binding oxidoreductase activity	2.6039	0.763672	1.5776	0.307459	1.7759	0.627762	0.7496	0.606213
Translation	Cre17.g727350	Cre17.g727350	translation ribosome structural constituent of ribosome mitochondrial large ribosomal subunit ribonucleoprotein complex mitochondrial translation	-0.5542	0.821295	-0.3404	0.594782	0.445	0.6726	0.6588	0.616625
RNA_Processing	Cre17.g727700	Cre17.g727700	ATP binding nucleic acid binding nucleotide binding helicase activity hydrolase activity RNA helicase activity cytoplasm Group II intron splicing	2.003	0.763672	1.8973	0.205872	0.5443	0.633067	0.4386	0.616056
Ubiquitin_Proteasome	Cre17.g727950	Cre17.g727950	proteasome complex enzyme regulator activity regulation of protein catabolic process proteasome regulatory particle, base subcomplex nucleus proteasome-mediated ubiquitin-dependent protein catabolic process proteasome storage granule	-0.1225	0.928487	-0.3333	0.529517	0.8194	0.627762	0.6086	0.606213
Chaperone	Cre17.g728200	Cre17.g728200	chromatin remodeling Swr1 complex histone chaperone activity	0.3505	0.933745	-0.0838	0.968915	0.9988	0.711449	0.5645	0.788623
Cysteine	Cre17.g728300	Cre17.g728300	proteolysis calcium-dependent cysteine-type endopeptidase activity hydrolase activity peptidase activity cysteine-type peptidase activity	-2.9704	0.785483	-2.0178	0.18687	0.5419	0.788711	1.4946	0.660889
Ubiquitin_Proteasome	Cre17.g728450	Cre17.g728450	ubiquitin binding double-strand break repair via homologous recombination	-0.8479	0.763672	0.4141	0.474061	0.2852	0.646792	1.5472	0.606213
Serine	Cre17.g728700	Cre17.g728700	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding MAPK cascade cytoplasm protein serine/threonine kinase activity intracellular signal transduction protein binding MAP kinase kinase kinase activity	1.4867	0.765014	0.3308	0.854867	0.966	0.654	-0.1899	0.929137
TCA_Cycle	Cre17.g728800	Cre17.g728800	tricarboxylic acid cycle oxidoreductase activity metal ion binding mitochondrion isocitrate metabolic process isocitrate dehydrogenase (NAD+) activity	-0.4599	0.787158	-0.1304	0.792651	0.7263	0.627762	1.0558	0.606213
Pentose_Phosphate	Cre17.g728900	Cre17.g728900	carbohydrate metabolic process pentose-phosphate shunt	1.1079	0.763672	1.2257	0.28402	0.6481	0.633067	0.7659	0.606213
Vitamin_B2_Riboflavin	Cre17.g728950	Cre17.g728950	catalytic activity riboflavin biosynthetic process 5-amino-6-(5-phosphoribosylamino)uracil reductase activity oxidoreductase activity diaminohydroxyphosphoribosylaminopyrimidine deaminase activity	0.6254	0.788903	0.2344	0.879623	1.1307	0.627762	0.7397	0.735382
cAMP_Signalling	Cre17.g729350	Cre17.g729350	intracellular signal transduction cyclic nucleotide biosynthetic process adenylate cyclase activity cAMP biosynthetic process	1.9541	0.763672	0.5329	0.486008	1.5272	0.627762	0.106	0.877389
cAMP_Signalling	Cre17.g729400	Cre17.g729400	intracellular signal transduction cyclic nucleotide biosynthetic process adenylate cyclase activity cAMP biosynthetic process	-0.3654	0.885826	0.9102	0.416236	-0.4162	0.743835	0.8594	0.615177
Transcription	Cre17.g729600	Cre17.g729600	regulation of DNA-templated transcription DNA-binding transcription factor activity DNA binding nucleus	0.3688	0.925971	-0.0074	0.988387	1.1395	0.63313	0.7633	0.608993
Vitamin_E_Tocopherol	Cre17.g730400	Cre17.g730400	kinase activity transferase activity metal ion binding chloroplast membrane zinc ion binding phytol kinase activity	0.4178	0.836128	0.5645	0.567563	0.8867	0.627762	1.0334	0.606213
Ubiquitin_Proteasome	Cre17.g730483	Cre17.g730483	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway endosome	0.5887	0.763672	0.3908	0.374363	0.5961	0.627762	0.3981	0.610123
Cellulose	Cre17.g730550	Cre17.g730550	carbohydrate metabolic process hydrolase activity, hydrolyzing O-glycosyl compounds hydrolase activity cellulase activity hydrolase activity, acting on glycosyl bonds polysaccharide catabolic process cellulose catabolic process	0	NA	0	NA	0	NA	0	NA
Cellulose	Cre17.g730600	Cre17.g730600	carbohydrate metabolic process hydrolase activity, hydrolyzing O-glycosyl compounds hydrolase activity cellulase activity hydrolase activity, acting on glycosyl bonds polysaccharide catabolic process cellulose catabolic process	0.3032	0.824128	0.1476	0.771256	1.3739	0.627762	1.2184	0.606213
Translation	Cre17.g731250	Cre17.g731250	translation ribosome structural constituent of ribosome cytoplasm ribonucleoprotein complex	-0.1143	0.963105	-0.3036	0.604059	1.03	0.627762	0.8406	0.606213
Ubiquitin_Proteasome	Cre17.g731466	Cre17.g731466	cytoplasm ubiquitin ligase complex protein binding	0.0402	0.993326	-1.2923	0.281744	1.7611	0.627762	0.4286	0.857122
Ubiquitin_Proteasome	Cre17.g731500	Cre17.g731500	ubiquitin-dependent protein catabolic process regulation of apoptotic process	-0.8899	0.803804	-0.483	0.634599	1.2519	0.627762	1.6588	0.606213
Fatty_Acid	Cre17.g731850	Cre17.g731850	oxidoreductase activity peroxisome fatty acid metabolic process fatty acid catabolic process 2,4-dienoyl-CoA reductase (NADPH) activity oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	-0.7517	0.790794	-1.4049	0.415155	1.0742	0.627762	0.421	0.715724
Pyrimidine	Cre17.g732050	Cre17.g732050	catalytic activity base-excision repair DNA repair DNA-(apurinic or apyrimidinic site) endonuclease activity hydrolase activity DNA damage response metal ion binding hydrolase activity, acting on glycosyl bonds iron-sulfur cluster binding oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity base-excision repair, AP site formation DNA N-glycosylase activity	-0.8166	0.765014	-0.435	0.300639	0.7783	0.627762	1.16	0.606213
Protein_Kinase_Signalling	Cre17.g732300	Cre17.g732300	ATP binding cytoplasm kinase activity phosphotransferase activity, alcohol group as acceptor galactose metabolic process galactokinase activity transferase activity nucleotide binding carbohydrate phosphorylation cytosol	-1.4726	0.763672	-2.1712	0.193468	0.3987	0.630867	-0.2998	0.835446
Phenylalanine	Cre17.g732802	Cre17.g732802	catalytic activity aromatic amino acid metabolic process fumarylacetoacetase activity hydrolase activity metal ion binding L-tyrosine catabolic process L-phenylalanine catabolic process	0.5487	0.925971	1.8123	0.569404	0.2347	0.919888	1.4983	0.672078
Chaperone	Cre17.g732850	Cre17.g732850	copper ion binding mitochondrial inner membrane copper chaperone activity intracellular copper ion homeostasis respiratory chain complex IV assembly metal ion binding mitochondrion	1.1807	0.765014	-0.5801	0.679987	1.8857	0.627762	0.125	0.952763
Histidine	Cre17.g733150	Cre17.g733150	membrane phosphorelay sensor kinase activity signal transduction phosphorelay signal transduction system phosphorylation transferase activity, transferring phosphorus-containing groups transferase activity kinase activity histidine phosphotransfer kinase activity plasma membrane protein kinase activity protein histidine kinase activity	0.7797	0.763672	0.5042	0.441691	0.6523	0.630269	0.3769	0.614556
Proline	Cre17.g733250	Cre17.g733250	peptidyl-prolyl cis-trans isomerase activity isomerase activity	-1.2704	0.763672	-0.4528	0.583146	0.4361	0.643199	1.2538	0.606683
Serine	Cre17.g733300	Cre17.g733300	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytosol MAPK cascade MAP kinase kinase kinase activity	0.9544	0.765014	-0.4758	0.594849	1.2757	0.627762	-0.1545	0.857911
Vitamin_B6_Pyridoxine	Cre17.g733650	Cre17.g733650	pyridoxal phosphate binding biosynthetic process transferase activity biotin biosynthetic process sphingolipid metabolic process	0.7513	0.840725	-0.3437	0.810269	1.4656	0.627762	0.3707	0.870789
Vitamin_B6_Pyridoxine	Cre17.g734200	Cre17.g734200	pyridoxal phosphate binding biosynthetic process transaminase activity transferase activity systemic acquired resistance, salicylic acid mediated signaling pathway	-1.0619	0.763672	-0.7629	0.218794	0.92	0.627762	1.2191	0.606213
Serine	Cre17.g734250	Cre17.g734250	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	-0.2035	0.892006	-0.4999	0.343215	0.7309	0.627762	0.4345	0.632793
Ubiquitin_Proteasome	Cre17.g734400	Cre17.g734400	ubiquitin-dependent protein catabolic process ubiquitin protein ligase binding cullin-RING ubiquitin ligase complex nucleus proteasome-mediated ubiquitin-dependent protein catabolic process protein ubiquitination	0.1325	0.921986	0.0643	0.895055	0.4227	0.63313	0.3545	0.66768
Translation	Cre17.g734450	Cre17.g734450	translation ribosome structural constituent of ribosome mRNA binding ribonucleoprotein complex	-1.9818	0.763672	-2.1437	0.182565	0.3872	0.656443	0.2252	0.866759
